Feature,Importance
OverallQual,0.09206335938353835
1stFlrSF,0.056677107402366596
GrLivArea,0.05445962306685213
GarageCars,0.04502105949904893
FullBath,0.040620013616470885
GarageArea,0.04061278840789806
LotArea,0.035748604084125946
TotalBsmtSF,0.02981562852614588
KitchenQual_TA,0.0273419446826457
BsmtFinSF1,0.026686970313248397
YearBuilt,0.02668335750245443
2ndFlrSF,0.0263392463051015
ExterQual_TA,0.025948910565842535
LotFrontage,0.0252650038642451
TotRmsAbvGrd,0.022199542692749704
HouseAge,0.018295799813647855
GarageFinish_Unf,0.017705161354569263
GarageYrBlt,0.016560684839923186
KitchenQual_Ex,0.015584948853621081
YearRemodAdd,0.015154257503431821
KitchenQual_Gd,0.015137648875401546
HeatingQC_Ex,0.01494434216096531
BsmtQual_TA,0.014854201726140279
MasVnrArea,0.014630192138466882
SaleCondition_Partial,0.013272985853501975
Fireplaces,0.011637582147883716
WoodDeckSF,0.009585139999890201
ExterQual_Ex,0.009525970302939902
GarageFinish_Fin,0.009136474248561366
OpenPorchSF,0.008941819097865858
RoofStyle_Hip,0.00881751237108461
BedroomAbvGr,0.00790883825250991
BsmtQual_Ex,0.007513392553873967
Foundation_CBlock,0.007138236341770725
BsmtExposure_No,0.006833003957010391
MasVnrType_Stone,0.0066196179183321486
MSSubClass,0.006260241289779147
BsmtFinType1_GLQ,0.006185110469588209
BsmtUnfSF,0.0057325336394615095
HouseStyle_2Story,0.004807161441856658
OverallCond,0.004796326421334391
GarageType_Detchd,0.004454648655083565
BsmtFullBath,0.004183598138152842
SaleType_New,0.003959957696551047
CentralAir_N,0.0038305073180513955
HalfBath,0.003554016502440166
LotShape_Reg,0.003384110714466123
BsmtQual_Gd,0.0033361275931104695
MSZoning_RL,0.0033281306340566933
BsmtExposure_Gd,0.0033184003753922633
Neighborhood_Crawfor,0.0032397943199801165
ExterQual_Gd,0.0030473624409433917
RoofStyle_Gable,0.002796650388609546
PavedDrive_N,0.0027631944878484718
BldgType_1Fam,0.0027052251925337788
FireplaceQu_Gd,0.0026214788878520206
Exterior1st_VinylSd,0.0026117809415053387
HeatingQC_TA,0.002497064021972744
Neighborhood_Somerst,0.002408538480267495
Neighborhood_NoRidge,0.0023689711844132495
MoSold,0.002356676537900385
Exterior2nd_VinylSd,0.0022548040981312
Foundation_PConc,0.002050325397113591
LandContour_Bnk,0.0020151881002378326
MasVnrType_BrkFace,0.001965297875137247
Neighborhood_Edwards,0.0017879097597835068
HouseStyle_1Story,0.0017557299574065671
FireplaceQu_Ex,0.001707106913171811
Electrical_SBrkr,0.001684356613256609
LandContour_HLS,0.0015674745368338266
LotConfig_CulDSac,0.0015556458588866793
Exterior1st_Wd Sdng,0.0014278553905105983
Neighborhood_Gilbert,0.0014159963084080685
MSZoning_RM,0.0014008029010423404
CentralAir_Y,0.0013991468653114505
BsmtFinType1_Unf,0.0013817725721055872
Exterior1st_BrkFace,0.0013684948090268954
GarageFinish_RFn,0.0013013823063766628
ScreenPorch,0.0012978952055751865
HeatingQC_Gd,0.0012236242092458203
YrSold,0.0011989587368076854
BsmtFinSF2,0.0011491786440234297
WasRemodeled,0.0010960277906319653
Exterior2nd_BrkFace,0.0010777958522416198
BsmtExposure_Av,0.0010661486439117174
Condition1_Norm,0.0010556248935229488
SaleType_WD,0.001027763339623928
LotShape_IR2,0.001010306842389457
SaleCondition_Abnorml,0.000982450732386349
PavedDrive_Y,0.0009815369383256885
Neighborhood_StoneBr,0.0009729931244568132
GarageType_BuiltIn,0.0009213034052987057
Exterior2nd_HdBoard,0.0008957878507355405
ExterCond_TA,0.0008957860833507866
Neighborhood_NridgHt,0.0008944592330178973
FireplaceQu_TA,0.0008607483684221335
Electrical_FuseA,0.0008595964553002221
BsmtCond_Fa,0.0008430860808877485
PoolArea,0.0008122740539335257
Exterior1st_CemntBd,0.0007990312052244293
ExterCond_Fa,0.0007988907715185549
Exterior2nd_CmentBd,0.0007981261206519698
Neighborhood_NWAmes,0.000795746002723203
Functional_Typ,0.0007823607832288142
LandContour_Lvl,0.0007112517924612418
Heating_GasW,0.0006882044516778361
Alley_Grvl,0.0006740342294633783
