Model,Test_MSE,Test_MAE,Test_R2,Category,Rank,Test_RMSE
Paper 1: RailEstate Spatial (XGBoost),552970880.0,14810.4501953125,0.9279077649116516,Research Paper 1,1,23515.33287027849
Paper 2: Global EBM,721009671.9529738,16387.24567804446,0.9060001292673336,Research Paper 2,2,26851.623264766953
Random Forest,835740198.1193367,17548.38643021846,0.8910424178131766,Classical,3,28909.171522534794
Gradient Boosting,889868044.2750751,17352.078155170035,0.8839856323918447,Classical,4,29830.656115397043
Linear Regression (Ridge),940534190.1938823,19134.86302279737,0.8773801576636209,Classical,5,30668.129877674026
Paper 2: Cluster-Specific EBM,995886443.8030308,18466.18895906924,0.8701637431182677,Research Paper 2,6,31557.66854194129
