Model,Test_R2,Test_MSE,Test_MAE
Global Lasso,0.8840419103473979,889436373.9977082,18471.82693025319
Global EBM,0.9060001292673335,721009671.9529738,16387.24567804446
Cluster-Specific Lasso (Aggregated),0.03207124907157555,7424329264.936194,27655.014112795878
Cluster-Specific EBM (Aggregated),0.8701637431182677,995886443.8030307,18466.188959069237
