Feature,Importance
OverallQual,0.5636364052238793
GrLivArea,0.12250935361983291
TotalBsmtSF,0.03337221799895469
2ndFlrSF,0.03210269258472793
BsmtFinSF1,0.028711256372849672
1stFlrSF,0.02555957304117948
LotArea,0.017716790385140964
GarageArea,0.0159826059028059
GarageCars,0.013912094208216354
YearBuilt,0.007923300203428145
LotFrontage,0.007687813605206429
HouseAge,0.006743009541595282
FullBath,0.006742836068108074
YearRemodAdd,0.006691550244939869
BsmtQual_Ex,0.0063148565338649095
TotRmsAbvGrd,0.005827994644316764
GarageFinish_Unf,0.005457805261114546
OpenPorchSF,0.005287715735632815
GarageYrBlt,0.004795960014614069
BsmtUnfSF,0.004520369918921059
WoodDeckSF,0.004444791467515122
MasVnrArea,0.0038250389761434545
OverallCond,0.003638437485680611
Fireplaces,0.0032570331334346118
BsmtQual_Gd,0.00301863062562082
ScreenPorch,0.0027197614380148364
MoSold,0.002705792988325557
KitchenQual_Gd,0.002647356850837973
ExterQual_Ex,0.0022843528334018566
CentralAir_N,0.0021861078360913898
GarageType_Detchd,0.002024474011224468
MSSubClass,0.0019443259417470727
LotShape_Reg,0.0015353795573363298
BedroomAbvGr,0.0015353095405700626
CentralAir_Y,0.001379889074669012
YrSold,0.0013661745651247109
BsmtExposure_No,0.0013152472060509483
BsmtExposure_Gd,0.0012578151432888762
MSZoning_RM,0.0010257346591284174
LandContour_Bnk,0.0009762170271622144
ExterQual_Gd,0.0009509284959745742
KitchenQual_Ex,0.0009034263910383697
KitchenQual_TA,0.0008995238635440128
BsmtQual_TA,0.0007934408613146761
HalfBath,0.0007504844312743105
BsmtFullBath,0.0007458010083026318
GarageType_Attchd,0.0006719359103926335
KitchenAbvGr,0.0006702739231968556
ExterQual_TA,0.0006700925152037593
BsmtFinType1_GLQ,0.0006592484314595649
Neighborhood_Edwards,0.0006402065027754088
SaleType_New,0.0006300837121536174
WasRemodeled,0.0006229158959164114
LotConfig_CulDSac,0.000606091604586688
Neighborhood_Crawfor,0.0005557486702915378
LandContour_Lvl,0.0005428962921095332
EnclosedPorch,0.0005402588326407368
LotConfig_Corner,0.0005178778417901699
Neighborhood_NoRidge,0.0005178368817046965
FireplaceQu_Gd,0.0005045592480793163
LandSlope_Gtl,0.0004916959324681576
Exterior2nd_VinylSd,0.0004872507027935302
RoofStyle_Hip,0.0004753823961224788
RoofMatl_CompShg,0.00045580339287434575
SaleCondition_Normal,0.0004437790407836576
Condition1_Norm,0.0004347932468412391
Functional_Typ,0.00042901008306355345
MSZoning_RL,0.0004289335263428218
LotConfig_Inside,0.0004245195081183085
FireplaceQu_TA,0.00041828511393056486
SaleCondition_Partial,0.00040994717167355284
HouseStyle_2Story,0.00040273142907764123
GarageFinish_RFn,0.0003968184654850501
FireplaceQu_Ex,0.00039278899399230717
HeatingQC_Ex,0.0003835741943301299
GarageFinish_Fin,0.000380076378692167
LotShape_IR1,0.0003725639509217904
HeatingQC_TA,0.0003698499794205266
Condition1_PosN,0.00036123257910956826
Foundation_PConc,0.00035372568741813483
Neighborhood_Timber,0.00035322853150463146
BsmtFinSF2,0.00032800324140562156
Neighborhood_NridgHt,0.0003277605933798162
Exterior1st_VinylSd,0.00032256595115240215
Neighborhood_NAmes,0.00029361383645272145
BsmtFinType1_Unf,0.00028516609935652567
SaleType_WD,0.0002849016952353773
RoofStyle_Gable,0.0002627034698689278
MasVnrType_BrkFace,0.0002564991048873986
BsmtFinType1_ALQ,0.00025298669880540045
LotShape_IR2,0.00024157217265858948
Exterior1st_MetalSd,0.00024016173268527694
MasVnrType_Stone,0.00023888509380251888
Neighborhood_CollgCr,0.0002349732477169121
BsmtExposure_Av,0.0002343660112137743
LandContour_HLS,0.0002340209210400677
SaleCondition_Abnorml,0.0002242646046269094
Exterior1st_BrkFace,0.00022133948964727341
PavedDrive_N,0.00021169206798022494
Foundation_BrkTil,0.0002070778614395188
BldgType_1Fam,0.0002053796891415889
Exterior2nd_MetalSd,0.00020245800321402993
HeatingQC_Gd,0.0001951900096949828
