Model,Test_MSE,Test_MAE,Test_R2
Random Forest,835740198.1193367,17548.38643021846,0.8910424178131766
Gradient Boosting,889868044.2750751,17352.078155170035,0.8839856323918447
Linear Regression (Ridge),940534190.1938823,19134.86302279737,0.8773801576636209
